date,state,district,pincode,bio_age_5_17,bio_age_17_
10-10-2025,Andhra Pradesh,Srikakulam,532460,10,25
10-10-2025,Andhra Pradesh,Srikakulam,532462,3,9
10-10-2025,Andhra Pradesh,Srikakulam,532474,3,5
13-11-2025,Andhra Pradesh,Srikakulam,532218,3,6
13-11-2025,Andhra Pradesh,Srikakulam,532219,1,5
13-11-2025,Andhra Pradesh,Srikakulam,532222,3,2
13-11-2025,Andhra Pradesh,Srikakulam,532284,5,6
13-11-2025,Andhra Pradesh,Srikakulam,532403,8,8
13-11-2025,Andhra Pradesh,Srikakulam,532405,3,3
13-11-2025,Andhra Pradesh,Srikakulam,532406,3,1
13-11-2025,Andhra Pradesh,Srikakulam,532409,9,6
13-11-2025,Andhra Pradesh,Srikakulam,532410,6,4
13-11-2025,Andhra Pradesh,Srikakulam,532425,2,6
13-11-2025,Andhra Pradesh,Srikakulam,532426,6,5
13-11-2025,Andhra Pradesh,Srikakulam,532457,5,10
13-11-2025,Andhra Pradesh,Srikakulam,532458,5,6
13-11-2025,Andhra Pradesh,Srikakulam,532460,9,8
13-11-2025,Andhra Pradesh,Srikakulam,532461,4,2
02-11-2025,Andhra Pradesh,Srikakulam,532218,0,1
02-11-2025,Andhra Pradesh,Srikakulam,532312,0,1
02-11-2025,Andhra Pradesh,Srikakulam,532445,0,1
03-11-2025,Andhra Pradesh,Srikakulam,532185,29,19
03-11-2025,Andhra Pradesh,Srikakulam,532190,5,5
03-11-2025,Andhra Pradesh,Srikakulam,532221,11,7
03-11-2025,Andhra Pradesh,Srikakulam,532242,8,9
03-11-2025,Andhra Pradesh,Srikakulam,532312,35,17
03-11-2025,Andhra Pradesh,Srikakulam,532432,11,7
03-11-2025,Andhra Pradesh,Srikakulam,532440,12,16
03-11-2025,Andhra Pradesh,Srikakulam,532455,29,15
03-11-2025,Andhra Pradesh,Srikakulam,532457,13,6
03-11-2025,Andhra Pradesh,Srikakulam,532458,7,8
03-11-2025,Andhra Pradesh,Srikakulam,532460,10,9
03-11-2025,Andhra Pradesh,Srikakulam,532461,3,2
03-11-2025,Andhra Pradesh,Srikakulam,535125,0,2
05-11-2025,Andhra Pradesh,Srikakulam,532001,22,7
05-11-2025,Andhra Pradesh,Srikakulam,532122,2,1
05-11-2025,Andhra Pradesh,Srikakulam,532148,6,3
05-11-2025,Andhra Pradesh,Srikakulam,532168,11,11
05-11-2025,Andhra Pradesh,Srikakulam,532190,1,2
05-11-2025,Andhra Pradesh,Srikakulam,532195,12,5
05-11-2025,Andhra Pradesh,Srikakulam,532201,17,6
05-11-2025,Andhra Pradesh,Srikakulam,532213,23,1
05-11-2025,Andhra Pradesh,Srikakulam,532218,4,5
05-11-2025,Andhra Pradesh,Srikakulam,532221,2,2
05-11-2025,Andhra Pradesh,Srikakulam,532263,1,1
05-11-2025,Andhra Pradesh,Srikakulam,532290,4,6
05-11-2025,Andhra Pradesh,Srikakulam,532322,5,2
05-11-2025,Andhra Pradesh,Srikakulam,532407,32,17
05-11-2025,Andhra Pradesh,Srikakulam,532409,5,6
05-11-2025,Andhra Pradesh,Srikakulam,532421,20,9
05-11-2025,Andhra Pradesh,Srikakulam,532428,2,6
05-11-2025,Andhra Pradesh,Srikakulam,532443,2,4
05-11-2025,Andhra Pradesh,Srikakulam,532458,3,3
05-11-2025,Andhra Pradesh,Srikakulam,532474,2,1
05-11-2025,Andhra Pradesh,Srikakulam,535128,2,1
04-11-2025,Andhra Pradesh,Srikakulam,532211,8,12
04-11-2025,Andhra Pradesh,Srikakulam,532212,4,7
04-11-2025,Andhra Pradesh,Srikakulam,532216,3,2
04-11-2025,Andhra Pradesh,Srikakulam,532243,8,4
04-11-2025,Andhra Pradesh,Srikakulam,532264,7,10
04-11-2025,Andhra Pradesh,Srikakulam,532291,17,7
04-11-2025,Andhra Pradesh,Srikakulam,532403,14,8
04-11-2025,Andhra Pradesh,Srikakulam,532406,13,5
04-11-2025,Andhra Pradesh,Srikakulam,532407,14,9
04-11-2025,Andhra Pradesh,Srikakulam,532443,1,12
04-11-2025,Andhra Pradesh,Srikakulam,532455,8,9
04-11-2025,Andhra Pradesh,Srikakulam,532456,3,2
04-11-2025,Andhra Pradesh,Srikakulam,532460,9,13
14-11-2025,Andhra Pradesh,Srikakulam,532001,16,9
14-11-2025,Andhra Pradesh,Srikakulam,532127,28,8
14-11-2025,Andhra Pradesh,Srikakulam,532185,16,10
14-11-2025,Andhra Pradesh,Srikakulam,532190,2,1
14-11-2025,Andhra Pradesh,Srikakulam,532201,8,21
14-11-2025,Andhra Pradesh,Srikakulam,532212,3,2
14-11-2025,Andhra Pradesh,Srikakulam,532214,2,6
14-11-2025,Andhra Pradesh,Srikakulam,532215,2,5
14-11-2025,Andhra Pradesh,Srikakulam,532218,2,12
14-11-2025,Andhra Pradesh,Srikakulam,532219,4,2
14-11-2025,Andhra Pradesh,Srikakulam,532284,11,3
14-11-2025,Andhra Pradesh,Srikakulam,532290,5,4
14-11-2025,Andhra Pradesh,Srikakulam,532404,7,5
14-11-2025,Andhra Pradesh,Srikakulam,532405,12,8
14-11-2025,Andhra Pradesh,Srikakulam,532410,5,4
14-11-2025,Andhra Pradesh,Srikakulam,532427,5,1
14-11-2025,Andhra Pradesh,Srikakulam,532457,4,2
14-11-2025,Andhra Pradesh,Srikakulam,532458,7,10
14-11-2025,Andhra Pradesh,Srikakulam,532459,5,9
14-11-2025,Andhra Pradesh,Srikakulam,532462,4,3
14-11-2025,Andhra Pradesh,Srikakulam,535557,2,1
15-11-2025,Andhra Pradesh,Srikakulam,532127,14,13
15-11-2025,Andhra Pradesh,Srikakulam,532201,13,9
15-11-2025,Andhra Pradesh,Srikakulam,532212,5,4
15-11-2025,Andhra Pradesh,Srikakulam,532215,4,2
15-11-2025,Andhra Pradesh,Srikakulam,532284,7,7
15-11-2025,Andhra Pradesh,Srikakulam,532404,3,1
15-11-2025,Andhra Pradesh,Srikakulam,532410,1,2
15-11-2025,Andhra Pradesh,Srikakulam,532425,1,6
